OperatorName,year,num_disclosures,total_water_consump
"Sheridan Production Company, LLC",2015,44,6267971.0
"GLB Exploration, Inc.",2017,14,3549802.0
Merit Energy Company LLC,2018,32,3180319.0
"Petroglyph Operating Company, Inc.",2014,12,2134747.0
Delta Oil & Gas Ltd.,2018,33,1883853.0
Mack Energy Co.,2014,23,926813.0
"Rover Petroleum Operating, LLC",2019,14,885875.0
"Omni Oil & Gas, Inc.",2013,48,768000.0
"Custer & Wright Operating, Inc",2014,17,722728.0
"Kodiak Oil & Gas, Inc.",2014,13,639955.0
"Texland Petroleum, LP",2017,11,600763.0
Evergreen Natural Resources LLC,2022,11,585396.0
"Juno Operating Company II, LLC",2013,19,444848.0
Unitex Oil Company,2014,13,424217.0
1859 Operating LLC,2022,14,319326.0
Bridwell Oil Company,2016,11,283122.0
