OperatorName,num_disclosures,year,avg_water_consum
Crimson Exploration Oper. Inc.,2,2014,3006234.0
Crose Oil Company,1,2022,15000.0
"Cross Timbers Energy, LLC",2,2023,50529.0
"CrownQuest Operating, LLC",145,2019,10632453.793103449
"Cub Creek Energy, LLC",8,2018,9186008.625
Cummings Oil Company,1,2014,3289650.0
"Custer & Wright Operating, Inc",17,2014,42513.41176470588
Cutbow Operating LLC,5,2022,18458624.6
"DAHCO Operating, LLC",1,2025,3574224.0
"DE Central Operating, LLC",3,2025,21781270.0
DE IV Operating LLC,24,2023,23024335.791666668
DE3 Operating LLC,18,2020,16874152.5
"DJR OPERATING, LLC",15,2023,2103174.6
"Dallas Petroleum Group, LLC",1,2016,88165.0
"Dallas Production, Inc",1,2018,83640.0
"Dash Operating, LLC",1,2022,2874984.0
"Davidson Energy, Inc.",1,2014,22596.0
Davis Southern Operating Co,1,2025,53634.0
Daylight Petroleum LLC,2,2018,386685.0
"Delta CO2, LLC",1,2014,38812.0
Delta Oil & Gas Ltd.,33,2018,57086.454545454544
"Denbury Onshore, LLC",14,2022,501679.14285714284
Derby Exploration,2,2025,7046139.0
Devon Energy Production Company L. P.,577,2015,9416687.102443673
"Dexxon, Inc.",1,2017,13440.0
Diamondback E&P LLC,290,2023,19125247.614803143
Dick Lindsay Oil Co,3,2014,88519.33333333333
"Dick Lindsay Oil Co., Inc.",1,2019,72451.0
Dinero Operating,1,2015,597.0
Discovery Natural Resources LLC,25,2018,16245786.84
"Discovery Operating, Inc.",17,2019,15201681.823529411
Diversified Production LLC,3,2024,21500913.0
"Driftwood Energy Operating, LLC",4,2021,26959411.5
"Dry Fork Production Co., LLC",1,2022,19603.0
Dugan Production Corp.,2,2022,32812.5
"Dunamis Energy Operating, LLC",1,2025,25205815.0
Duncan Oil Properties,7,2023,6569105.142857143
"E.G.L. Resources, Inc.",1,2013,1592640.0
"EAGLE ROCK MID-CONTINENT OPERATING, LLC",4,2014,1986710.5
EAP Ohio LLC,45,2020,36180289.83511111
"EDF Trading Resources, LLC",1,2013,100826.0
EE3 LLC,1,2014,3548580.0
"EF Energy, LLC",3,2012,4055028.0
"EMEP Operating, LLC",3,2023,2307526.0966666667
ENTERPRISE ENERGY EXPLORATION INC.,1,2015,17892.0
"EOG Resources, Inc.",943,2023,12161447.802820785
EP Energy,143,2018,8521333.943065105
EQT Production,202,2013,17249966.44514686
"EXCO Resources, Inc.",60,2018,12347100.591063712
"EXCO/HGI JV Assets, LLC",6,2014,214033.33333333334
