OperatorName,num_disclosures
"Wesco Operating, Inc.",2
Weins Oil & Gas LLC,2
Weaver Energy Corporation,2
"Wave Petroleum Operating, LLC",2
"Warrior Met Coal Gas, LLC",2
Walter Oil & Gas Corporation,2
Walter Black Warrior Basin LLC,2
"WEM Operating, LLC",2
"Vitruvian Exploration IV, LLC",2
"Verado Energy, Inc.",2
"Valpoint Operating, LLC",2
Validus Energy II Midcon,2
VALIDUS NRG AQUILAS ASSETCO LLC,2
V-F Petroleum Inc.,2
U.S. Energy Development Corp,2
Troubadour Operating,2
"Triumph Exploration, Inc.",2
Triumph Energy Partners LLC,2
Trail Ridge Energy Partners II LLC,2
"Tracker Resource Dev III, LLC",2
"Tilford Pinson Exploration, LLC",2
"Tidal Petroleum, Inc.",2
Territory Resources,2
Terrace Energy,2
"Tecolote Energy Operating, LLC",2
Teal Natural Resources,2
Tascosa Energy Partners LLC.,2
"Tarka Energy, LLC",2
"TXP, Inc.",2
THE DEHART COMPANY,2
"TAQA North USA, Inc.",2
Summit Oil & Gas,2
Sponte Operating,2
"Sandpoint Operating, LLC",2
"SV Energy Company, LLC",2
STRATA PRODUCTION COMPANY,2
"SOGC, Inc.",2
"SK Plymouth, LLC",2
"SHD Oil & Gas, LLC",2
SG Interests I Ltd.,2
"Royalty Land & Dev. Co., Inc.",2
Rover Operating,2
"Rocky Creek Resources, LLC",2
Rockport Energy Solutions LLC,2
"Rockdale Marcellus, LLC",2
"Roberson Oil Company, Inc.",2
Rife Energy Operating,2
"Resource Oil and Gas, LLC",2
"Renegade Oil & Gas Company, LLC",2
Redwood Operating LLC,2
"Red Willow Production, LLC",2
"RFE Operating, LLC",2
"Quanah Panhandle, LLC",2
Primary Natural Resources III,2
"Premier Natural Resources II, LLC",2
"Petro Operating Company, LLC",2
Percussion Petroleum LLC,2
"Panther Energy Co. II, LLC",2
"Paloma Permian AssetCo, LLC",2
Palm Oil & Gas Company,2
"Pacesetter Energy, LLC",2
PCORE Exploration & Production LLC,2
"Oil Search Alaska, LLC",2
"Oakridge Oil and Gas, LP",2
OSBORN HEIRS COMPANY,2
"O'Benco, Inc.",2
"North Silo Resources, LLC",2
Nickel Road Operating LLC,2
New Dominion LLC,2
Nadel and Gussman,2
NWE,2
NBL Permian LLC,2
Mustang Fuel Corporation,2
"Muirfield Exploration, Ltd.",2
Mr.,2
"Mountaineer Keystone, LLC",2
Mountain Divide LLC,2
Mitsui E&P,2
Memorial Resource Development LLC,2
"Marlin Energy Resources, LLC",2
Macha Enterprises Inc,2
"MECO IV, LLC",2
MDC TEXAS ENERGY,2
MACKELLAR INC,2
"Limestone Exploration II, LLC",2
Lighthouse Oil & Gas LP,2
"Legend Natural Gas, LLC",2
"Lawrence County Gas, LLC",2
"Latigo Petroleum, LLC",2
"Latigo Oil & Gas, Inc.",2
"Lakota Energy, LTD.",2
La Vernia Oil,2
"LP Operating, LLC",2
"KJ Energy, LLC",2
Joint Resource Company,2
Johnson & Ernst Operating Co.,2
"Jilpetco, Inc.",2
Jerry Hess Operating Company,2
"Ironwood Oil and Gas, LLC",2
Infinity Natural Resources,2
Incline Energy,2
ImPetro Operating LLC,2
"Huntington Energy, L.L.C.",2
"HW Operating, LLC",2
HOG OPERATING LLC,2
Gunnison Energy LLC,2
"GulfTex Energy III, LP",2
Grynberg Petroleum,2
Greystone Oil & Gas LLP,2
Greylock Production LLC,2
"Gasco Energy, Inc.",2
"Garry Davis Oil, LLC",2
GMT EXPLORATION,2
"Fuse Energy, LLC",2
"Freedom Operating Company, LLC",2
"Fossil Petroleum, LLC",2
"Forza Operating, LLC",2
"FireWheel Operating, LLC",2
Fairway Resources Op. LLC,2
"FLAMINGO OPERATING, LLC",2
"Estancia Oil & Gas, LLC",2
"Element Petroleum OP III,LLC",2
Eagle Oil & Gas co.,2
"Eagle Exploration Production, LLC",2
Eagle Energy Acquisitions LP,2
Dugan Production Corp.,2
Derby Exploration,2
Daylight Petroleum LLC,2
"Cross Timbers Energy, LLC",2
Crimson Exploration Oper. Inc.,2
"Courson Oil & Gas, Inc.",2
Command,2
Comanche Resources Company,2
"Circle-S Energy, LLC",2
Cinco Natural Resources Corporation,2
Champion Lone Star Operating,2
"Central Resources, Inc.",2
"Carrera Energy, LLC",2
"Caird Operating, LLC",2
CH4-Finley Operating LLC,2
CEP MID-CONTINENT LLC,2
Broad Oak Energy II llc,2
"Brigham Resources Operating, LLC",2
BreitBurn Operating LP,2
"Blake Production Company, Inc.",2
"BlackBrush O & G, Inc.",2
"Black Raven Energy, Inc.",2
"Banner Oil & Gas, LLC",2
"Badlands Energy - Utah, LLC",2
BROOKSTON ENERGY ETX-NLA,2
BRG Lone Star LTD,2
BKV Operating LLC,2
BBX Operating,2
"BASA Resources, Inc.",2
"B. R. Polk, Inc.",2
Australis TMS Inc.,2
"Aurora USA Developement, LLC",2
Atlas Operating-LLC,2
Atlantic Resources Company LLC,2
Atlantic Exploration,2
"Atalaya Resources, LLC",2
"Apollo Operating, LLC",2
Apex Energy LLC,2
"Amistad Energy Services, LLC",2
"American Energy - Utica, LLC",2
"Alchemist Energy, LLC",2
"Ajax Resources, LLC",2
"3R OPERATING, LLC",2
winfield Operating company,1
king energy llc,1
bracken operating llc,1
Zeal Production Company,1
"Yucca Energy, Inc.",1
Younger Energy Company,1
"Yale Oil Association, Inc.",1
Woodbine Acquisition LLC,1
Wildhorse Operating Company,1
White Knight Production LLC,1
"Weinkauf Petroleum, Inc.",1
"Wagon Wheel ArkLaTex, LLC",1
"WG Operating, Inc.",1
"WFW Production Company, Inc.",1
WFD Oil Corporation,1
Vine Energy Operating LP,1
"Viejo Energy I, LLC",1
Vess Oil Corp,1
Vantage Energy Appalachia LLC,1
Vanguard Permian LLC,1
